4-->186:UNSAT, time: 4.79412293434
0-->186:UNSAT, time: 6.27408790588
141-->186:UNSAT, time: 6.40856194496
137-->186:UNSAT, time: 6.43297696114
2-->186:UNSAT, time: 8.35503411293
175-->186:UNSAT, time: 13.1490151882
150-->186:SolFound, time: 21.2119429111
154-->186:UNSAT, time: 25.155228138
151-->186:SolFound, time: 28.7649998665
133-->186:UNSAT, time: 34.3620889187
171-->186:UNSAT, time: 1.17986392975
156-->186:SolFound, time: 35.9590041637
157-->186:SolFound, time: 28.8718850613
177-->186:UNSAT, time: 2.29397106171
178-->186:UNSAT, time: 1.50001001358
160-->186:UNSAT, time: 23.8675460815
153-->186:UNSAT, time: 58.4520168304
181-->186:UNSAT, time: 2.0162551403
158-->186:SolFound, time: 52.7801439762
45-->186:SolFound, time: 45.0369808674
176-->186:UNSAT, time: 36.9139001369
107-->186:UNSAT, time: 2.95701980591
47-->186:SolFound, time: 52.9377231598
180-->186:UNSAT, time: 36.177929163
93-->186:UNSAT, time: 33.9046800137
121-->186:SolFound, time: 28.2645299435
76-->186:SolFound, time: 49.0399188995
126-->186:SolFound, time: 13.3688440323
122-->186:SolFound, time: 39.1960039139
179-->186:SolFound, time: 77.5511870384
172-->187:UNSAT, time: 4.79362297058
129-->187:SolFound, time: 17.6814689636
118-->186:SolFound, time: 54.3693740368
155-->187:UNSAT, time: 3.79463195801
174-->187:UNSAT, time: 16.903922081
130-->187:UNSAT, time: 43.0379328728
30-->187:SolFound, time: 38.0392920971
39-->187:UNSAT, time: 1.02281498909
40-->187:UNSAT, time: 5.66650390625
159-->187:SolFound, time: 34.8563668728
41-->187:UNSAT, time: 2.13063311577
161-->187:SolFound, time: 35.4266068935
128-->187:UNSAT, time: 116.778205156
29-->187:UNSAT, time: 112.392134905
173-->187:UNSAT, time: 72.2575111389
184-->187:UNSAT, time: 8.86597895622
44-->187:UNSAT, time: 119.163350821
62-->187:UNSAT, time: 21.1586492062
67-->187:UNSAT, time: 4.91122293472
43-->187:UNSAT, time: 131.255662918
124-->186:SolFound, time: 227.022359133
82-->187:UNSAT, time: 20.5919878483
28-->187:UNSAT, time: 189.91606617
127-->187:UNSAT, time: 27.5856440067
92-->187:SolFound, time: 55.2737631798
119-->187:UNSAT, time: 53.8330550194
66-->188:UNSAT, time: 2.92365908623
120-->187:UNSAT, time: 54.0830338001
182-->187:UNSAT, time: 126.704849005
46-->187:UNSAT, time: 155.034339905
67-->188:UNSAT, time: 14.8135979176
73-->188:SolFound, time: 17.096750021
75-->188:SolFound, time: 3.73237085342
130-->188:UNSAT, time: 0.918612003326
72-->188:SolFound, time: 31.4296321869
68-->188:UNSAT, time: 39.9327561855
50-->188:SolFound, time: 14.5887110233
65-->188:UNSAT, time: 71.6810810566
62-->188:UNSAT, time: 1.02491784096
74-->188:SolFound, time: 50.6161179543
53-->150:UNSAT, time: 0.98398900032
153-->150:UNSAT, time: 0.962249994278
185-->188:UNSAT, time: 10.8885378838
49-->188:UNSAT, time: 32.2855489254
145-->151:UNSAT, time: 0.91597700119
152-->151:UNSAT, time: 6.07943797112
154-->151:UNSAT, time: 1.21994280815
154-->150:UNSAT, time: 12.916301012
48-->188:UNSAT, time: 64.6342451572
160-->156:SolFound, time: 45.5819671154
53-->151:UNSAT, time: 61.8672130108
64-->188:UNSAT, time: 162.183809042
119-->157:UNSAT, time: 15.3214101791
119-->156:SolFound, time: 71.0754821301
155-->156:SolFound, time: 36.8970081806
120-->156:SolFound, time: 64.7751941681
43-->45:UNSAT, time: 8.28506803513
44-->47:UNSAT, time: 10.4119579792
120-->157:SolFound, time: 65.5735290051
63-->188:UNSAT, time: 163.498951912
46-->47:SolFound, time: 65.2325251102
155-->157:UNSAT, time: 103.708969116
77-->76:UNSAT, time: 34.9387459755
78-->76:UNSAT, time: 1.00123691559
46-->45:SolFound, time: 145.642029047
81-->76:UNSAT, time: 31.6229109764
85-->76:UNSAT, time: 1.02667212486
183-->76:UNSAT, time: 2.94128894806
153-->126:UNSAT, time: 1.95757603645
80-->76:UNSAT, time: 117.010634184
43-->121:SolFound, time: 175.090579987
175-->179:UNSAT, time: 1.08887195587
145-->179:UNSAT, time: 1.02138614655
44-->45:SolFound, time: 312.064297915
180-->179:UNSAT, time: 107.643137932
152-->179:UNSAT, time: 0.975898981094
154-->179:UNSAT, time: 20.7825069427
53-->179:UNSAT, time: 79.3315279484
43-->122:UNSAT, time: 222.053293943
110-->129:UNSAT, time: 6.86573696136
143-->129:UNSAT, time: 1.0383310318
128-->129:SolFound, time: 42.3642718792
78-->118:UNSAT, time: 4.27480602264
142-->129:UNSAT, time: 9.95407295227
81-->118:UNSAT, time: 6.71864199638
109-->129:UNSAT, time: 51.7868719101
