52-->93:UNSAT, time: 2.74655890465
0-->93:UNSAT, time: 6.52931189537
1-->93:UNSAT, time: 14.136316061
46-->93:UNSAT, time: 23.1474609375
39-->93:SolFound, time: 53.6096949577
59-->93:SolFound, time: 43.3126158714
57-->93:SolFound, time: 57.8721110821
62-->93:SolFound, time: 14.24533391
58-->93:SolFound, time: 68.0939331055
69-->93:UNSAT, time: 27.6593899727
72-->93:SolFound, time: 36.317414999
74-->93:UNSAT, time: 74.1066768169
76-->93:SolFound, time: 44.799726963
83-->93:UNSAT, time: 1.09667897224
86-->93:UNSAT, time: 49.4092209339
87-->93:UNSAT, time: 2.0506169796
88-->93:UNSAT, time: 0.916568994522
77-->93:UNSAT, time: 62.3682439327
90-->93:UNSAT, time: 2.03091096878
75-->93:SolFound, time: 152.933681965
13-->94:SolFound, time: 43.06990695
17-->94:UNSAT, time: 1.1235101223
18-->94:UNSAT, time: 8.83525300026
89-->93:SolFound, time: 135.932054996
67-->93:UNSAT, time: 287.214241982
20-->93:SolFound, time: 384.67862916
30-->94:UNSAT, time: 69.3674678802
33-->94:UNSAT, time: 70.8385961056
60-->93:SolFound, time: 462.459064007
41-->94:UNSAT, time: 132.507547855
64-->94:SolFound, time: 17.8647620678
12-->94:UNSAT, time: 381.235787868
65-->94:UNSAT, time: 51.3676409721
63-->94:UNSAT, time: 160.568246126
78-->94:SolFound, time: 37.567636013
84-->94:UNSAT, time: 7.64716696739
77-->94:SolFound, time: 69.8896820545
32-->95:UNSAT, time: 3.27709293365
85-->94:UNSAT, time: 18.6831409931
33-->95:UNSAT, time: 33.7081921101
36-->95:SolFound, time: 32.8604698181
38-->95:SolFound, time: 3.79768490791
65-->95:UNSAT, time: 0.969558000565
46-->94:SolFound, time: 278.105856895
23-->95:SolFound, time: 14.9035630226
92-->95:UNSAT, time: 11.2031469345
30-->95:UNSAT, time: 0.94636297226
37-->95:SolFound, time: 121.884852886
22-->95:UNSAT, time: 120.87242198
40-->39:UNSAT, time: 1.14277410507
21-->94:UNSAT, time: 569.967664957
42-->39:UNSAT, time: 34.8519551754
91-->39:UNSAT, time: 196.249487162
41-->39:UNSAT, time: 205.463506937
31-->95:UNSAT, time: 278.390826941
74-->39:UNSAT, time: 16.6239221096
91-->94:UNSAT, time: 475.345244884
40-->57:UNSAT, time: 4.67460799217
42-->57:UNSAT, time: 6.52987289429
43-->57:UNSAT, time: 2.15088796616
21-->39:SolFound, time: 180.196090937
25-->57:UNSAT, time: 8.49782800674
21-->59:SolFound, time: 2843.05931187
74-->62:UNSAT, time: 1.91401410103
70-->72:UNSAT, time: 0.902939796448
