network,prop,result,time
1_1,1,safe,18.578678
1_2,1,safe,9.224901
1_3,1,safe,33.031498
1_4,1,safe,24.647882
1_5,1,safe,8.663275
1_6,1,safe,8.15425
1_7,1,safe,8.092737
1_8,1,safe,8.049838000000001
1_9,1,safe,8.056553
2_1,1,safe,14.969786
2_2,1,safe,101.086624
2_3,1,safe,37.697648
2_4,1,safe,13.480286999999999
2_5,1,timeout,300.0
2_6,1,timeout,300.0
2_7,1,timeout,300.0
2_8,1,timeout,300.0
2_9,1,timeout,300.0
3_1,1,safe,113.09551200000001
3_2,1,safe,59.74419399999999
3_3,1,safe,26.867838
3_4,1,safe,16.58839
3_5,1,safe,191.423803
3_6,1,timeout,300.0
3_7,1,timeout,300.0
3_8,1,timeout,300.0
3_9,1,timeout,300.0
4_1,1,timeout,300.0
4_2,1,safe,19.616796
4_3,1,safe,63.324456999999995
4_4,1,safe,26.583013
4_5,1,safe,129.671707
4_6,1,timeout,300.0
4_7,1,timeout,300.0
4_8,1,timeout,300.0
4_9,1,timeout,300.0
5_1,1,safe,11.426061
5_2,1,safe,35.201709
5_3,1,safe,9.387272
5_4,1,safe,15.137542999999999
5_5,1,safe,77.209925
5_6,1,timeout,300.0
5_7,1,timeout,300.0
5_8,1,timeout,300.0
5_9,1,timeout,300.0
1_1,2,timeout,300.108659
1_2,2,unsafe,28.826866
1_3,2,timeout,300.149573
1_4,2,unsafe,27.198459000000003
1_5,2,unsafe,103.175375
1_6,2,unsafe,35.71205
1_7,2,timeout,300.109074
1_8,2,timeout,300.094325
1_9,2,timeout,300.158142
2_1,2,unsafe,21.189404999999997
2_2,2,unsafe,26.08309
2_3,2,unsafe,21.525318
2_4,2,unsafe,21.188111
2_5,2,unsafe,27.841882000000002
2_6,2,unsafe,28.600690999999998
2_7,2,unsafe,29.312665999999997
2_8,2,unsafe,31.217184000000003
2_9,2,unsafe,30.701134999999997
3_1,2,unsafe,19.530882000000002
3_2,2,unsafe,18.500801
3_3,2,timeout,300.145738
3_4,2,unsafe,19.744688
3_5,2,unsafe,21.486644000000002
3_6,2,unsafe,36.067612
3_7,2,unsafe,32.619926
3_8,2,unsafe,31.113636
3_9,2,unsafe,27.281005
4_1,2,unsafe,45.649722
4_2,2,timeout,300.235289
4_3,2,unsafe,23.067361
4_4,2,unsafe,16.241991
4_5,2,unsafe,29.506712
4_6,2,unsafe,27.549713
4_7,2,unsafe,36.080093
4_8,2,unsafe,24.175333
4_9,2,timeout,300.136024
